"myid","mymeans","mycileftknown","mycirightknown","mycileftunknown","mycirightunknown","myvars"
10,0.894137708781628,0.274342676477067,1.51393274108619,0.275679663619489,1.51259575394377,0.997842855988292
1010,1.03031663745519,0.968644726710149,1.09198854820024,0.971336294634972,1.08929698027542,0.956356663960849
2010,0.99528004889257,0.951563078015874,1.03899701976927,0.953222340428637,1.0373377573565,0.962045348076779
3010,1.01168511512472,0.975960723368613,1.04740950688082,0.975836850303998,1.04753337994544,1.00346746462363
4010,1.00328035402971,0.972329267122757,1.03423144093666,0.972390846560868,1.03416986149855,0.998010427281734
5010,0.990918739669262,0.963228339750814,1.01860913958771,0.963911722274475,1.01792575706405,0.975320597547401
6010,1.00700286008983,0.981720893386629,1.03228482679303,0.982126484549528,1.03187923563013,0.983957293842669
7010,0.990695609032614,0.967286273743012,1.01410494432222,0.967585115372292,1.01380610269294,0.987234083087669
8010,0.993530755160026,0.971631374483982,1.01543013583607,0.971265716159931,1.01579579416012,1.01669719931628
9010,1.01547526362101,0.994826897340751,1.03612362990127,0.994794925925878,1.03615560131614,1.00154837503557
10010,1.00776092897351,0.988171081604283,1.02735077634273,0.988212330094941,1.02730952785207,0.997894394484997
11010,0.988644045813255,0.969965010999573,1.00732308062694,0.969924706967059,1.00736338465945,1.00215771494167
12010,1.00330844392655,0.985423952808848,1.02119293504425,0.984998783534507,1.02161810431859,1.0237730708435
13010,1.00721113724402,0.990027723676829,1.02439455081122,0.990299688855791,1.02412258563225,0.984172808394644
14010,0.99550395050586,0.978945144303062,1.01206275670866,0.978980186884663,1.01202771412706,0.997883749518412
15010,1.00908397629688,0.993086269056309,1.02508168353745,0.993296038193296,1.02487191440046,0.986887549957475
16010,0.999365047735952,0.983875011808452,1.01485508366345,0.983695712888589,1.01503438258331,1.0115751132342
17010,0.987145139936121,0.972117321677426,1.00217295819481,0.972307215129131,1.00198306474311,0.987363870893533
18010,1.00714855774771,0.992543905022789,1.02175321047264,0.99280190323086,1.02149521226457,0.982334519489749
19010,1.00481779102759,0.99060245819401,1.01903312386117,0.990606955689848,1.01902862636533,0.999683616564557
20010,0.999522457354693,0.985666882572014,1.01337803213737,0.985773688474693,1.01327122623469,0.992291485242962
21010,1.00888971997644,0.995367902640752,1.02241153731213,0.995406747107586,1.02237269284529,0.99712727469463
22010,0.995378276205008,0.982167203892227,1.00858934851779,0.982106684117789,1.00864986829223,1.00458098881036
23010,1.00243283409695,0.989512022864063,1.01535364532983,0.989262192754425,1.01560347543947,1.01933548173827
24010,0.995582030050795,0.982933151840498,1.00823090826109,0.983154559815397,1.00800950028619,0.982495841036863
25010,1.00276386247817,0.990370440268698,1.01515728468763,0.990545630958291,1.01498209399804,0.985864220016789
26010,1.00743384177,0.995280997999322,1.01958668554068,0.995453068738131,1.01941461480187,0.985841113236037
27010,0.996041656807664,0.98411590411782,1.00796740949751,0.984072134165415,1.00801117944991,1.003670204602
28010,1.00434844659666,0.992637512510268,1.01605938068305,0.992651816974757,1.01604507621856,0.998778537699665
29010,0.993745130023854,0.982237809061278,1.00525245098643,0.982110247333705,1.005380012714,1.01108526719533
30010,0.991354820465639,0.980040848629737,1.00266879230154,0.980076765843078,1.0026328750882,0.996825410752142
31010,1.00599685192345,0.994866799551261,1.01712690429563,0.994875434426852,1.01711826942004,0.999224183741229
32010,0.989870728265308,0.978915908065052,1.00082554846556,0.978897095106386,1.00084436142423,1.00171732245004
33010,1.0032899894043,0.992502377127548,1.01407760168106,0.992513204807008,1.01406677400159,0.99899628581536
34010,1.00893637931004,0.998308545000088,1.01956421361999,0.998247969853698,1.01962478876638,1.00569966981261
35010,0.995979281167595,0.985504329310181,1.00645423302501,0.985512607147003,1.00644595518819,0.999209749416117
36010,0.997932579093425,0.987604096300243,1.00826106188661,0.98762110493049,1.00824405325636,0.998353230519172
37010,0.997572174396189,0.987384183493929,1.00776016529845,0.987287500582494,1.00785684820989,1.00948988984806
